code,name,signal_date,entry_date,entry_price,exit_price,return,days,reason,scan_close
012210,삼미금속,2026-03-13,2026-03-17,15120.0,16632.0,10.0,3,take_profit,17220.0
013360,일성건설,2026-03-13,2026-03-17,1795.0,1974.5000000000002,10.0,3,take_profit,1772.0
013700,까뮤이앤씨,2026-03-13,2026-03-17,1230.0,1260.0,2.4390243902439024,5,time_exit,1290.0
014160,대영포장,2026-03-13,2026-03-17,1020.0,1122.0,10.0,5,take_profit,1035.0
014970,삼륭물산,2026-03-13,2026-03-17,6060.0,6666.000000000001,10.0,1,take_profit,6080.0
015360,INVENI,2026-03-13,2026-03-17,75900.0,78300.0,3.1620553359683794,5,time_exit,76300.0
015890,태경산업,2026-03-13,2026-03-17,4725.0,4870.0,3.068783068783069,5,time_exit,4755.0
016670,디모아,2026-03-13,2026-03-17,4140.0,3933.0,-5.0,1,stop_loss,4205.0
016880,웅진,2026-03-13,2026-03-17,2245.0,2469.5,10.0,1,take_profit,2145.0
017550,수산세보틱스,2026-03-13,2026-03-17,1878.0,1988.0,5.857294994675186,5,time_exit,1917.0
017670,SK텔레콤,2026-03-13,2026-03-17,77500.0,76600.0,-1.1612903225806452,5,time_exit,75000.0
018000,유니슨,2026-03-13,2026-03-17,1181.0,1299.1000000000001,10.0,1,take_profit,1180.0
018120,진로발효,2026-03-13,2026-03-17,17710.0,17560.0,-0.846979107848673,5,time_exit,17890.0
020180,대신정보통신,2026-03-13,2026-03-17,1011.0,1069.0,5.736894164193868,5,time_exit,1006.0
025890,한국주강,2026-03-13,2026-03-17,1589.0,1578.0,-0.6922592825676527,5,time_exit,1660.0
030530,원익홀딩스,2026-03-13,2026-03-17,32500.0,32900.0,1.2307692307692308,5,time_exit,31300.0
030720,동원수산,2026-03-13,2026-03-17,5830.0,5870.0,0.6861063464837049,5,time_exit,5890.0
032620,유비케어,2026-03-13,2026-03-17,3960.0,4000.0,1.0101010101010102,5,time_exit,4080.0
033230,인성정보,2026-03-13,2026-03-17,1585.0,1597.0,0.7570977917981072,5,time_exit,1586.0
036190,금화피에스시,2026-03-13,2026-03-17,34700.0,38170.0,10.0,3,take_profit,34800.0
036220,오상헬스케어,2026-03-13,2026-03-17,9880.0,9386.0,-5.0,5,stop_loss,9820.0
036620,감성코퍼레이션,2026-03-13,2026-03-17,5630.0,5348.5,-5.0,4,stop_loss,5750.0
036640,HRS,2026-03-13,2026-03-17,5060.0,5110.0,0.9881422924901186,5,time_exit,5050.0
038070,서린바이오,2026-03-13,2026-03-17,6560.0,6232.0,-5.0,2,stop_loss,6640.0
038950,파인디지털,2026-03-13,2026-03-17,3200.0,3255.0,1.7187500000000002,5,time_exit,3165.0
039200,오스코텍,2026-03-13,2026-03-17,54900.0,52155.0,-5.0,4,stop_loss,56100.0
040420,정상제이엘에스,2026-03-13,2026-03-17,5800.0,5790.0,-0.1724137931034483,5,time_exit,5810.0
041020,폴라리스오피스,2026-03-13,2026-03-17,4800.0,5280.0,10.0,1,take_profit,5100.0
041440,현대에버다임,2026-03-13,2026-03-17,8210.0,8470.0,3.1668696711327646,5,time_exit,8430.0
041910,폴라리스AI파마,2026-03-13,2026-03-17,8390.0,7970.5,-5.0,2,stop_loss,8190.0
041920,메디아나,2026-03-13,2026-03-17,19540.0,18563.0,-5.0,3,stop_loss,21600.0
042940,상지건설,2026-03-13,2026-03-17,8310.0,9141.0,10.0,3,take_profit,8840.0
045340,토탈소프트,2026-03-13,2026-03-17,6800.0,6980.0,2.6470588235294117,5,time_exit,6930.0
045390,대아티아이,2026-03-13,2026-03-17,4155.0,4045.0,-2.6474127557160045,5,time_exit,4760.0
046210,HLB파나진,2026-03-13,2026-03-17,2100.0,2310.0,10.0,1,take_profit,2070.0
048770,TPC,2026-03-13,2026-03-17,3075.0,3050.0,-0.8130081300813009,5,time_exit,3085.0
049550,잉크테크,2026-03-13,2026-03-17,3210.0,3210.0,0.0,5,time_exit,3200.0
049960,쎌바이오텍,2026-03-13,2026-03-17,13830.0,14000.0,1.2292118582791034,5,time_exit,14400.0
050760,에스폴리텍,2026-03-13,2026-03-17,1168.0,1284.8000000000002,10.0,4,take_profit,1172.0
051380,피씨디렉트,2026-03-13,2026-03-17,2000.0,2200.0,10.0,1,take_profit,2055.0
052220,iMBC,2026-03-13,2026-03-17,3085.0,3135.0,1.6207455429497568,5,time_exit,3165.0
052330,코텍,2026-03-13,2026-03-17,10030.0,10170.0,1.3958125623130608,5,time_exit,10180.0
052690,한전기술,2026-03-13,2026-03-17,169300.0,160835.0,-5.0,4,stop_loss,177700.0
052710,아모텍,2026-03-13,2026-03-17,12450.0,13695.000000000002,10.0,1,take_profit,12890.0
053210,스카이라이프,2026-03-13,2026-03-17,5090.0,5120.0,0.5893909626719057,5,time_exit,5170.0
053620,태양,2026-03-13,2026-03-17,6840.0,7050.0,3.070175438596491,5,time_exit,6900.0
053690,한미글로벌,2026-03-13,2026-03-17,19880.0,21868.0,10.0,2,take_profit,20350.0
056700,신화인터텍,2026-03-13,2026-03-17,1862.0,1811.0,-2.7389903329752956,5,time_exit,1873.0
060250,NHN KCP,2026-03-13,2026-03-17,19560.0,18582.0,-5.0,4,stop_loss,19600.0
060310,3S,2026-03-13,2026-03-17,1230.0,1270.0,3.2520325203252036,5,time_exit,1274.0
060370,LS마린솔루션,2026-03-13,2026-03-17,30700.0,33770.0,10.0,3,take_profit,33000.0
060570,드림어스컴퍼니,2026-03-13,2026-03-17,1317.0,1251.1499999999999,-5.0,2,stop_loss,1354.0
063570,NICE인프라,2026-03-13,2026-03-17,4145.0,4200.0,1.3268998793727382,5,time_exit,4135.0
064820,케이프,2026-03-13,2026-03-17,10860.0,10317.0,-5.0,5,stop_loss,11180.0
065170,비엘팜텍,2026-03-13,2026-03-17,4225.0,4647.5,10.0,1,take_profit,4220.0
067900,와이엔텍,2026-03-13,2026-03-17,7000.0,7110.0,1.5714285714285716,5,time_exit,7090.0
069140,누리플랜,2026-03-13,2026-03-17,2125.0,2337.5,10.0,2,take_profit,2200.0
073110,엘엠에스,2026-03-13,2026-03-17,5090.0,5300.0,4.12573673870334,5,time_exit,5170.0
078020,LS증권,2026-03-13,2026-03-17,7780.0,7930.0,1.9280205655526992,5,time_exit,7660.0
078350,한양디지텍,2026-03-13,2026-03-17,25200.0,27720.000000000004,10.0,2,take_profit,25200.0
084650,랩지노믹스,2026-03-13,2026-03-17,1375.0,1306.25,-5.0,4,stop_loss,1430.0
089850,유비벨록스,2026-03-13,2026-03-17,5230.0,5540.0,5.927342256214149,5,time_exit,5300.0
089980,상아프론테크,2026-03-13,2026-03-17,22100.0,24310.000000000004,10.0,1,take_profit,22900.0
092190,서울바이오시스,2026-03-13,2026-03-17,3955.0,3757.25,-5.0,2,stop_loss,3975.0
092200,디아이씨,2026-03-13,2026-03-17,9210.0,8749.5,-5.0,4,stop_loss,9220.0
